"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","edge_percent","whiff_percent","swing_percent"
"Santander, Anthony","623993","2024","29","595","665","140","69","25","2","44","129","58",19.4,8.7,".235",".506",".308","0.814","102","91","1","0",".228",".445",".345",".324",".304",".218",".394",".364",".297",".291",".007",".061",73.1,34,13.7,11,27.6,22.3,"7.2","7","89.8","22.7",35,"55",11.7,22.5,3,41.6,"100.325476894","94.357156511",42.5,20,49.7
"Machado, Manny","592518","2024","31","593","643","163","104","30","0","29","124","45",19.3,7,".275",".472",".325","0.797","105","77","1","0",".272",".461",".340",".338",".325",".189",".399",".397",".345",".345",".003",".011",75.3,53.6,20.7,16.3,31.6,24.8,"7.8","25","92.5","12.7",33.8,"52",11,32.3,1.7,48.8,"103.370494128","96.17209183",44.2,24.4,51.6
"Profar, Jurickson","595777","2024","31","564","668","158","105","29","0","24","101","76",15.1,11.4,".280",".459",".380","0.839","85","94","1","0",".282",".444",".365",".364",".383",".161",".381",".379",".338",".342","-0.002",".015",71.7,22.8,12.4,10.4,32.2,27,"7.3","13","91.1","13.4",31.3,"34",7.2,29.8,3.8,44.4,"100.952441293","94.862553707",42.2,17,45.6
"Rutschman, Adley","668939","2024","26","571","638","143","102","21","1","19","103","58",16.1,9.1,".250",".391",".318","0.709","79","68","1","0",".255",".393",".309",".315",".325",".138",".330",".339",".301",".310","-0.005","-0.002",69,6.4,10.6,8.9,35.7,30,"6.9","9","88.2","18.8",35.4,"29",6.1,24.6,1.9,36.6,"98.081119454","93.149039684",43.4,17.1,44.5
"Verdugo, Alex","657077","2024","28","559","621","130","88","28","1","13","93","49",15,7.9,".233",".356",".291","0.647","61","74","0","0",".250",".373",".283",".302",".309",".124",".296",".320",".273",".297","-0.017","-0.017",68.4,7.5,10.9,9.1,39.8,33.4,"6.3","5","88.3","9.9",31.6,"27",5.6,38.1,3.6,34.9,"98.009613263","93.0881338",44.7,15.5,44.7
"Ohtani, Shohei","660271","2024","29","636","731","197","98","38","7","54","162","81",22.2,11.1,".310",".646",".390","1.036","130","134","2","3",".314",".660",".431",".442",".396",".347",".534",".551",".411",".420","-0.004","-0.014",76.3,64.1,25.3,17.8,37.3,26.3,"7.8","10","95.8","16.2",37.8,"103",21.5,25.7,2.3,60.1,"106.727792385","98.772122364",42.4,29.8,47.3
"Volpe, Anthony","683011","2024","23","637","689","155","109","27","7","12","156","42",22.6,6.1,".243",".364",".293","0.657","60","90","0","1",".238",".332",".287",".278",".291",".094",".342",".329",".320",".317",".005",".032",69.5,4.7,10.8,8.5,33.2,26.2,"7.1","29","87.7","8.4",33.3,"19",3.9,36.8,4.7,35.4,"98.177841555","93.206482989",43.5,22.6,48.1
"Arenado, Nolan","571448","2024","33","578","635","157","118","23","0","16","92","44",14.5,6.9,".272",".394",".325","0.719","71","70","2","1",".255",".356",".314",".296",".312",".101",".336",".313",".318",".302",".017",".038",70.7,12.8,9.2,7.8,32.3,27.6,"8.2","29","86.3","16.9",35.9,"16",3.2,28.2,4.5,31.6,"96.924147927","92.483246402",42.2,17.2,46.8
"Witt Jr., Bobby","677951","2024","24","636","709","211","123","45","11","32","106","57",15,8,".332",".588",".389","0.977","109","125","0","0",".315",".577",".410",".407",".378",".262",".461",".458",".392",".378",".017",".011",74.7,48.2,20.3,15.9,34.8,27.4,"7.1","16","92.7","15.1",35.7,"77",14.3,25.3,2.2,48.3,"103.972880446","96.499868141",41.3,22.3,51.2
"McCutchen, Andrew","457705","2024","37","448","515","104","65","18","1","20","133","58",25.8,11.3,".232",".411",".328","0.739","50","66","0","0",".227",".421",".325",".327",".324",".194",".386",".391",".328",".322",".005","-0.010",72.7,25.3,14.9,11.1,31.2,23.2,"7.6","11","88.5","14.3",31.9,"38",12,32.8,3.5,36.9,"99.424962893","93.831123091",44,28.9,42
"Gelof, Zack","680869","2024","24","497","547","105","66","20","2","17","188","38",34.4,6.9,".211",".362",".270","0.632","49","60","0","0",".199",".347",".276",".271",".262",".148",".386",".377",".334",".320",".012",".015",71.6,11.7,12,7.8,30.4,19.8,"7.3","23","89.2","14.2",34.4,"28",8.8,31.5,4.1,37.2,"98.970921935","93.611147032",43.7,36.4,51.5
"Varsho, Daulton","662139","2024","27","459","513","98","52","21","7","18","137","48",26.7,9.4,".214",".407",".293","0.700","58","73","0","0",".186",".316",".304",".261",".268",".130",".372",".304",".303",".264",".028",".091",73.7,34.4,11.1,8.2,24,17.7,"7.6","6","86.1","24.4",30.2,"20",6.2,19.8,9.9,34,"98.537583503","93.276618121",45.8,27,47.6
"Winker, Jesse","608385","2024","30","430","508","109","72","23","0","14","106","63",20.9,12.4,".253",".405",".360","0.765","58","63","1","0",".245",".384",".338",".329",".353",".139",".370",".357",".333",".323",".008",".021",69.6,7.7,11.7,9.6,32.7,26.9,"7.3","20","88.6","14",30.1,"25",7.6,33.1,3.6,37.4,"98.91091179","93.570274815",43.7,19.6,43.2
"Cowser, Colton","681297","2024","24","499","561","121","70","24","3","24","172","52",30.7,9.3,".242",".447",".321","0.768","69","77","0","0",".230",".437",".331",".326",".312",".207",".442",".433",".367",".352",".012",".010",73.8,40.7,17,12.4,31,22.7,"6.9","23","90.5","13",32.1,"45",13.6,31.2,3.9,46.1,"101.838992303","95.374243739",42.9,30.4,44.5
"Stephenson, Tyler","663886","2024","27","457","515","118","72","26","1","19","117","48",22.7,9.3,".258",".444",".338","0.782","66","69","0","0",".241",".403",".339",".322",".325",".162",".400",".373",".345",".325",".017",".041",70.8,9.4,15.6,12.7,37.5,30.5,"7.4","31","90.2","10.9",33,"31",9.1,35.1,2,43.9,"100.320154503","94.587176774",42.3,22.7,43.2
"Ramos, Heliot","671218","2024","24","475","518","128","80","23","3","22","135","37",26.1,7.1,".269",".469",".322","0.791","72","54","0","0",".250",".481",".339",".338",".307",".230",".434",".434",".372",".350",".019","-0.012",75.2,55.3,18.3,13.7,29.8,22.3,"6.9","28","91.5","10.4",34.3,"50",14.5,34,4.1,47.5,"102.620742924","95.895956716",40.1,28.7,50.3
"Ortiz, Joey","687401","2024","25","440","511","105","63","25","6","11","103","56",20.2,11,".239",".398",".329","0.727","60","58","1","0",".234",".343",".319",".305",".328",".109",".347",".327",".306",".305",".005",".055",73.4,34.8,12.4,10.5,26.5,22.5,"7.5","8","87.8","9.9",26.6,"16",4.6,35.5,5.2,38.4,"99.391509467","93.766433018",44.8,17.1,39.4
"Meyers, Jake","676694","2024","28","461","513","101","65","20","3","13","117","35",22.8,6.8,".219",".360",".286","0.646","61","51","0","0",".235",".382",".285",".304",".303",".147",".327",".355",".290",".315","-0.016","-0.022",68.6,7.8,10.6,8,31.6,23.8,"7","31","88.2","14.4",34.8,"24",6.8,30.8,5.7,37,"99.317270058","93.726741906",43.3,27,49.1
"Sánchez, Jesús","660821","2024","26","489","537","123","79","25","1","18","140","41",26.1,7.6,".252",".417",".313","0.730","64","60","1","0",".264",".468",".317",".343",".325",".204",".397",".437",".350",".369","-0.012","-0.051",75.2,54.4,19.1,13.1,32.2,22.2,"7.1","13","92.5","7.7",31.8,"43",12.2,37.2,3.1,51.3,"104.556000571","96.923820315",42.8,31.2,53.2
"Mountcastle, Ryan","663624","2024","27","473","507","128","83","30","2","13","114","27",22.5,5.3,".271",".425",".308","0.733","63","54","0","0",".272",".445",".316",".332",".313",".173",".385",".408",".351",".358","-0.001","-0.020",75.1,50,15.9,12.2,27.3,20.9,"7.5","15","90.8","10.4",36.2,"32",8.8,33.2,3,45.2,"102.105716923","95.370233104",42.6,25.1,56.1
"Lowe, Nathaniel","663993","2024","28","486","565","129","96","16","1","16","125","71",22.1,12.6,".265",".401",".361","0.762","69","62","1","0",".252",".380",".337",".328",".352",".128",".381",".368",".353",".339",".013",".021",73.3,29.3,15.2,12.4,28.3,23,"7.3","23","88.9","7.7",32.6,"21",5.8,37.5,3,40,"100.432822253","94.330442369",44.6,20.6,42.7
"Turner, Justin","457759","2024","39","460","539","119","84","24","0","11","95","59",17.6,10.9,".259",".383",".354","0.737","55","59","1","0",".252",".383",".327",".328",".352",".131",".341",".343",".320",".316",".007",".000",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,"17",4.6,23.9,3.2,32.5,"96.702342312","92.434680753",43.3,17,45.4
"Taveras, Leody","665750","2024","25","480","529","110","78","17","3","12","112","42",21.2,7.9,".229",".352",".289","0.641","44","59","1","0",".240",".368",".282",".295",".301",".129",".321",".340",".296",".312","-0.011","-0.016",71.3,14.8,14.4,10.6,32.6,24,"7.5","6","89","14.7",31.5,"22",5.9,30.1,2.9,35.5,"99.173170874","93.650113205",43.6,26.2,48.8
"Morel, Christopher","666624","2024","25","535","611","105","70","11","3","21","159","61",26,10,".196",".346",".288","0.634","60","56","1","0",".225",".399",".280",".316",".316",".174",".324",".381",".276",".320","-0.029","-0.053",76.1,64.7,17.6,11.7,30.2,20.1,"8","24","89.2","14.2",27.6,"39",10.2,34.1,2.6,40.4,"101.221222105","94.784090605",44.1,34.1,47
"Arozarena, Randy","668227","2024","29","549","648","120","67","33","0","20","169","73",26.1,11.3,".219",".388",".332","0.720","60","77","1","0",".219",".381",".320",".324",".335",".162",".368",".375",".313",".318",".000",".007",72.7,33.4,15.9,11.6,32.9,24.1,"7.4","15","90.4","13.2",28.4,"32",8.3,33.1,2.6,43.5,"100.904108177","94.731331384",43,29.7,41
"Langford, Wyatt","694671","2024","22","499","557","126","81","25","4","16","115","51",20.6,9.2,".253",".415",".325","0.740","74","74","3","0",".257",".427",".321",".331",".330",".170",".367",".382",".326",".333","-0.004","-0.012",74.5,48.2,18.4,14.2,31.7,24.4,"7","8","89.6","16.6",31.3,"36",9.3,28.4,4.1,43.4,"101.211098854","94.807365599",42.1,22.9,42.8
"Burger, Jake","669394","2024","28","535","579","134","81","23","1","29","150","31",25.9,5.4,".250",".460",".301","0.761","76","68","1","0",".256",".476",".325",".338",".307",".221",".415",".433",".344",".355","-0.006","-0.016",74.7,46.9,20.2,14.4,33.4,23.9,"7.5","17","91.3","13",32.4,"48",12.3,29.8,3.6,46.8,"103.619986856","96.171144407",43,30.1,52.4
"Judge, Aaron","592450","2024","32","559","704","180","85","36","1","58","171","133",24.3,18.9,".322",".701",".458","1.159","144","122","0","1",".310",".723",".476",".479",".449",".413",".617",".623",".462",".445",".012","-0.022",77.2,75.1,25.6,18,33.7,23.7,"8.2","16","96.2","19",40.8,"105",26.9,20.3,1.3,61,"107.20043567","99.103701521",41.1,30.7,42
"Doyle, Brenton","686668","2024","26","542","603","141","90","24","4","23","153","46",25.4,7.6,".260",".446",".317","0.763","72","82","2","0",".254",".437",".328",".329",".315",".183",".410",".412",".355",".351",".006",".009",70.9,8.1,15.2,10.8,34.3,24.3,"7.4","20","89.2","13.2",37.4,"42",10.5,28.2,5.5,41.4,"100.983223096","94.67619269",43,29.8,51.4
"Vierling, Matt","663837","2024","27","518","567","133","84","28","5","16","121","41",21.3,7.2,".257",".423",".312","0.735","57","80","1","0",".256",".393",".317",".309",".313",".137",".373",".362",".331",".332",".001",".030",71.1,12.2,15.6,12.5,35.6,28.6,"7.4","8","89.8","11.7",34.1,"30",7.5,33.8,3.5,40.9,"100.235830606","94.344722247",42.1,19.5,42.8
"Happ, Ian","664023","2024","29","569","657","138","77","34","2","25","168","80",25.6,12.2,".243",".441",".341","0.782","86","89","0","0",".243",".446",".341",".345",".342",".203",".409",".416",".342",".345",".000","-0.005",72.4,23.7,15.1,11,31.8,23.2,"7","18","90.8","15.1",37,"47",11.7,26.8,3.5,45.2,"101.590666318","95.287992294",45,27.9,45.9
"Smith, Josh","669701","2024","26","523","592","135","91","30","1","13","121","46",20.4,7.8,".258",".394",".337","0.731","62","67","1","0",".242",".352",".323",".304",".324",".110",".361",".333",".333",".315",".016",".042",70.1,6.8,11.8,9.2,35.7,27.8,"6.8","10","87.8","15.4",33.7,"15",3.7,26.5,6.1,37.1,"98.306997711","93.25999596",43.7,21.8,47.1
"Neto, Zach","687263","2024","23","542","602","135","77","34","1","23","140","39",23.3,6.5,".249",".443",".318","0.761","77","70","0","0",".236",".414",".330",".317",".307",".178",".395",".376",".335",".319",".013",".029",71,14.7,13.9,10.4,33.8,25.4,"7.1","37","88.5","12.3",29,"34",8.4,29.7,7.1,38.8,"100.130832864","94.28058907",41.5,27.1,48.9
